 run; iterations; problem; colony size; Setup rand Kernel; read map; Distance Kernel; Iroulete ; Route ; Pheromone; Best Check;  Copy Data; Total Time ;
 3; 15; 7; 2048; 0.00008; 0.00146; 0.00010; 0.00352;  0.14855; 0.00104;  0.00104; 0.00002 ;  49769.571759 ; 2.255117 ;
 4; 15; 7; 2048; 0.00008; 0.00143; 0.00010; 0.00352;  0.14864; 0.00104;  0.00104; 0.00002 ;  50716.369966 ; 2.256444 ;
 0; 15; 7; 4096; 0.00009; 0.00146; 0.00010; 0.00353;  0.17865; 0.00203;  0.00203; 0.00005 ;  49941.105283 ; 2.724955 ;
 1; 15; 7; 4096; 0.00009; 0.00144; 0.00010; 0.00351;  0.17814; 0.00203;  0.00203; 0.00002 ;  49069.526420 ; 2.717492 ;
 2; 15; 7; 4096; 0.00009; 0.00139; 0.00010; 0.00351;  0.17916; 0.00203;  0.00203; 0.00002 ;  49215.809036 ; 2.732717 ;
 3; 15; 7; 4096; 0.00009; 0.00146; 0.00010; 0.00351;  0.17844; 0.00203;  0.00203; 0.00002 ;  49393.717180 ; 2.721619 ;
 4; 15; 7; 4096; 0.00009; 0.00142; 0.00010; 0.00351;  0.17908; 0.00203;  0.00203; 0.00002 ;  50005.647625 ; 2.731403 ;
 0; 15; 7; 8192; 0.00010; 0.00145; 0.00010; 0.00351;  0.40437; 0.00401;  0.00401; 0.00005 ;  49626.175066 ; 6.148247 ;
 1; 15; 7; 8192; 0.00010; 0.00140; 0.00010; 0.00351;  0.40688; 0.00404;  0.00404; 0.00002 ;  49714.437373 ; 6.186730 ;
 2; 15; 7; 8192; 0.00011; 0.00129; 0.00010; 0.00354;  0.40529; 0.00404;  0.00404; 0.00002 ;  48860.379907 ; 6.162155 ;
 3; 15; 7; 8192; 0.00010; 0.00144; 0.00010; 0.00354;  0.40850; 0.00405;  0.00405; 0.00005 ;  47873.595777 ; 6.211251 ;
 4; 15; 7; 8192; 0.00011; 0.00141; 0.00010; 0.00355;  0.40542; 0.00406;  0.00406; 0.00002 ;  50091.404639 ; 6.164788 ;
 0; 15; 8; 1024; 0.00253; 0.03165; 0.00027; 0.00713;  0.24437; 0.00104;  0.00104; 0.00005 ;  63267.832239 ; 3.858716 ;
 1; 15; 8; 1024; 0.00008; 0.00277; 0.00019; 0.00495;  0.24178; 0.00104;  0.00104; 0.00005 ;  62839.424798 ; 3.656132 ;
 2; 15; 8; 1024; 0.00008; 0.00250; 0.00019; 0.00494;  0.24307; 0.00104;  0.00104; 0.00003 ;  63364.883989 ; 3.675316 ;
 3; 15; 8; 1024; 0.00008; 0.00278; 0.00019; 0.00497;  0.24335; 0.00104;  0.00104; 0.00005 ;  63446.061466 ; 3.679963 ;
 4; 15; 8; 1024; 0.00008; 0.00269; 0.00019; 0.00498;  0.24367; 0.00105;  0.00105; 0.00005 ;  64315.642260 ; 3.684247 ;
 0; 15; 8; 2048; 0.00009; 0.00278; 0.00019; 0.00499;  0.24761; 0.00201;  0.00201; 0.00002 ;  63957.496857 ; 3.759870 ;
 1; 15; 8; 2048; 0.00009; 0.00247; 0.00019; 0.00499;  0.24902; 0.00202;  0.00202; 0.00005 ;  64682.833491 ; 3.780733 ;
 2; 15; 8; 2048; 0.00009; 0.00269; 0.00019; 0.00500;  0.24913; 0.00202;  0.00202; 0.00002 ;  64374.188658 ; 3.783004 ;
 3; 15; 8; 2048; 0.00008; 0.00258; 0.00019; 0.00500;  0.25037; 0.00202;  0.00202; 0.00002 ;  62951.362996 ; 3.800932 ;
 4; 15; 8; 2048; 0.00008; 0.00276; 0.00019; 0.00502;  0.24982; 0.00202;  0.00202; 0.00002 ;  63418.933313 ; 3.793583 ;
 0; 15; 8; 4096; 0.00009; 0.00284; 0.00019; 0.00502;  0.32684; 0.00397;  0.00397; 0.00005 ;  63243.503478 ; 5.010031 ;
 1; 15; 8; 4096; 0.00009; 0.00284; 0.00019; 0.00502;  0.32942; 0.00397;  0.00397; 0.00002 ;  63783.791598 ; 5.020897 ;
 2; 15; 8; 4096; 0.00010; 0.00277; 0.00019; 0.00505;  0.33168; 0.00400;  0.00400; 0.00002 ;  63464.841529 ; 5.055429 ;
 3; 15; 8; 4096; 0.00012; 0.00251; 0.00020; 0.00507;  0.32882; 0.00400;  0.00400; 0.00003 ;  61524.633840 ; 5.012504 ;
 4; 15; 8; 4096; 0.00009; 0.00261; 0.00019; 0.00507;  0.32894; 0.00400;  0.00400; 0.00009 ;  63813.186307 ; 5.014328 ;
 0; 15; 8; 8192; 0.00010; 0.00261; 0.00020; 0.00511;  0.94268; 0.00798;  0.00798; 0.00004 ;  62602.909158 ; 14.288600 ;
 1; 15; 8; 8192; 0.00010; 0.00264; 0.00020; 0.00509;  0.94016; 0.00804;  0.00804; 0.00005 ;  62810.430413 ; 14.251195 ;
 2; 15; 8; 8192; 0.00011; 0.00260; 0.00020; 0.00514;  0.94627; 0.00806;  0.00806; 0.00012 ;  62155.405394 ; 14.343575 ;
 3; 15; 8; 8192; 0.00011; 0.00263; 0.00020; 0.00514;  0.94459; 0.00805;  0.00805; 0.00003 ;  63125.324773 ; 14.318437 ;
 4; 15; 8; 8192; 0.00012; 0.00279; 0.00020; 0.00514;  0.94929; 0.00805;  0.00805; 0.00003 ;  62711.127516 ; 14.388348 ;
 0; 15; 9; 1024; 0.00253; 0.01695; 0.00171; 0.04033;  2.28939; 0.00722;  0.00722; 0.00006 ;  78293.841666 ; 34.653790 ;
 1; 15; 9; 1024; 0.00008; 0.01409; 0.00123; 0.02925;  2.30317; 0.00728;  0.00728; 0.00006 ;  77667.855748 ; 34.718275 ;
 2; 15; 9; 1024; 0.00253; 0.01695; 0.00171; 0.04033;  2.28939; 0.00722;  0.00722; 0.00006 ;  78293.841666 ; 34.653790 ;
 3; 15; 9; 1024; 0.00008; 0.01409; 0.00123; 0.02925;  2.30317; 0.00728;  0.00728; 0.00006 ;  77667.855748 ; 34.718275 ;
 4; 15; 9; 1024; 0.00253; 0.01695; 0.00171; 0.04033;  2.28939; 0.00722;  0.00722; 0.00006 ;  78293.841666 ; 34.653790 ;
 0; 15; 9; 2048; 0.00009; 0.01807; 0.00123; 0.02906;  2.58644; 0.01443;  0.01443; 0.00006 ;  77635.356396 ; 39.080000 ;
 1; 15; 9; 2048; 0.00009; 0.01336; 0.00125; 0.02954;  2.60681; 0.01455;  0.01455; 0.00006 ;  76554.608479 ; 39.383098 ;
 2; 15; 9; 2048; 0.00009; 0.01807; 0.00123; 0.02906;  2.58644; 0.01443;  0.01443; 0.00006 ;  77635.356396 ; 39.080000 ;
